,MATCHUP,REB,AST,STL,BLK,PTS,FGM,FGA,MIN,TOV
0,NYK @ OKC,3,9,1,0,22,9,23,40,3
1,NYK @ WAS,3,6,1,0,18,6,17,36,2
2,NYK @ WAS,3,9,0,0,55,18,31,44,3
3,NYK @ ORL,3,9,2,0,26,11,21,37,1
4,NYK vs. SAS,7,9,1,0,20,7,23,38,1
5,NYK vs. TOR,1,7,2,0,12,4,13,32,3
6,NYK @ NOP,1,6,2,0,39,13,19,40,4
7,NYK @ MIN,3,7,1,0,14,5,14,30,3
8,NYK @ ORL,3,5,1,0,31,8,18,38,3
9,NYK vs. ATL,4,8,1,1,14,5,15,36,2
10,NYK @ TOR,4,11,0,0,20,7,13,35,3
11,NYK vs. DET,4,10,1,0,31,11,21,44,5
12,NYK vs. CHA,1,5,1,0,24,6,8,27,0
13,NYK vs. ORL,2,4,0,0,21,8,15,27,3
14,NYK vs. NOP,2,9,0,0,16,4,11,26,3
15,NYK @ CHA,6,6,1,1,31,9,18,37,2
16,NYK @ DAL,3,7,2,0,37,14,21,36,2
17,NYK @ DEN,3,17,0,0,23,8,14,38,2
18,NYK @ UTA,2,8,1,0,23,8,19,37,2
19,NYK @ PHX,2,10,1,0,36,12,21,37,5
20,NYK vs. WAS,1,11,1,0,26,9,15,30,0
21,NYK vs. BKN,5,10,2,0,12,3,14,34,3
22,NYK vs. BKN,3,7,0,0,37,12,20,34,3
23,NYK vs. CHI,3,8,0,0,24,9,20,34,2
24,NYK @ PHI,3,5,1,0,18,5,15,35,6
25,NYK @ IND,6,10,0,0,33,11,17,41,3
26,NYK vs. MIL,2,9,1,0,15,6,14,32,0
27,NYK @ ATL,3,4,0,0,21,8,18,37,3
28,NYK @ HOU,3,8,1,0,29,9,24,42,1
29,NYK @ DET,1,5,2,0,36,14,22,31,2
30,NYK @ MIA,2,9,0,0,22,6,18,36,1
31,NYK vs. CLE,3,7,0,0,21,8,24,38,1
32,NYK vs. IND,5,5,0,0,26,10,19,30,1
33,NYK @ BOS,1,2,0,0,22,9,14,25,4
